Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.121287896,0.771779797,1.402796636,2.407658013,1.993530552,2.030077579,2.098751967,1.787785374,1.416052594,5.333806398,-0.550159996,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,
Australia,AUS,3.728813559,2.287581699,-0.319488818,0.641025641,2.866242038,3.405572755,3.293413174,3.47826087,2.521008403,3.278688525,3.439153439,6.138107417,6.024096386,9.090909091,15.41666667,15.16245487,13.32288401,12.30982019,8.004926108,9.122006842,10.13584117,9.487666034,11.35181976,10.03891051,3.96039604,6.734693878,9.050350542,8.533021625,7.215939688,7.533902562,7.333021952,3.17667537,1.012231126,1.753653445,1.969634797,4.6277666,2.615384615,0.224887556,0.86013463,1.483129403,4.457435148,4.407135362,2.981574539,2.732595966,2.343255225,2.691831683,3.555287737,2.327611289,4.35029855,1.771117166,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873
Austria,AUT,1.945765184,3.542256991,4.381780854,2.708775285,3.868574795,4.93090648,2.05481781,3.974672001,2.764860589,3.080397267,4.372834991,4.704264649,6.355134987,7.53108065,9.521793791,8.445252783,7.318688995,5.494609539,3.574325327,3.707403333,6.328320876,6.803038618,5.436023634,3.339173357,5.663187493,3.189511634,1.705446658,1.401952938,1.91572092,2.568343847,3.261873123,3.337428845,4.020845591,3.631785595,2.95340391,2.243366681,1.860973769,1.305983072,0.922465841,0.568990767,2.344864555,2.649999223,1.810359539,1.355556733,2.06120354,2.299138822,1.441546962,2.168555998,3.21595023,0.50630835,1.81353628,3.286581974,2.485673529,2.000158912,1.605804145,0.896565316,0.891592367,2.081268583,1.998381877,1.530895534
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.63009716,1128.000024,1662.215949,411.7596418,19.79480281,3.674348097,-0.772697886,-8.525170005,1.805003037,1.547195902,2.77116472,2.23386493,6.708930428,9.679507319,8.328924829,16.66125777,20.8372929,1.463159974,5.73238743,7.852383768,1.068103014,2.418869884,1.389726358,4.009438267,12.44949552,12.93998411,2.263516857,2.608339565
Burundi,BDI,,,,,,,4.436860068,-1.089324619,6.057268722,4.023883697,-0.199650611,3.85096274,3.828557669,6.006493507,15.7223073,15.7098746,6.856551574,6.834514041,23.89562065,36.540757,2.4985195,12.16739435,5.868096357,8.151231356,14.31686979,3.804286836,1.675675676,7.11323764,4.486797697,11.66159985,7.002169567,8.996938735,1.823333333,9.679346581,14.85281498,19.26325364,26.43678161,31.11158983,12.50041077,3.385424273,24.43202421,9.296187713,-1.365680053,10.64746457,8.176429375,13.25206992,2.745420002,8.412062858,24.40695104,10.55543553,6.493265915,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,-2.814698077,-0.686772171
Belgium,BEL,0.299467255,0.992676261,1.404607035,2.148003413,4.168760586,4.065201375,4.174347619,2.730302686,2.701449829,3.753992291,3.908472385,4.343628546,5.448431284,6.955280087,12.67788775,12.76819859,9.068609811,7.096000591,4.470593316,4.469083949,6.648688297,7.627486568,8.726549066,7.661609837,6.34177491,4.868733995,1.294368191,1.553382613,1.160934934,3.107050651,3.44831218,3.215310693,2.427955672,2.754426435,2.377540845,1.467966991,2.077021074,1.628160495,0.949250288,1.120848234,2.544517762,2.469258231,1.645214362,1.588964,2.097283112,2.781432637,1.791207701,1.8230563,4.489444205,-0.053145674,2.189299204,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.440599215,38.53086617,14.46254822,4.914239726,3.466295906,5.753314584,0.326722893,4.165404423,3.984295478,2.489162355,1.487242461,0.873890831,5.364520858,3.782176965,1.298068133,7.947298761,0.896072356,2.207835325,2.704239077,6.744682533,0.428888889,-0.548757551,0.218785924,-0.794050174,1.769412474,0.848806255,-0.915681573
Burkina Faso,BFA,7.788161994,18.56213873,1.675909561,5.574202829,1.845123198,-0.730252523,2.36410602,-4.333753909,-0.286713688,9.655529358,1.772603315,2.06121818,-2.923356559,7.603890363,8.719609454,18.75694661,-8.400718778,29.9861043,8.269140072,14.99346595,12.2026365,7.555705604,12.05976521,8.153762774,4.846957682,6.906057821,-2.611742925,-2.681784235,4.255616018,-0.481798715,-0.504303389,2.162600527,-1.991135807,0.553455724,25.17787622,7.458844978,6.097804391,2.318690622,5.084333441,-1.072613628,-0.304212168,5.007432908,2.175694807,2.034565741,-0.400228702,6.415040184,2.333108564,-0.230627306,10.6597979,2.608176664,-0.764230735,2.759767249,3.818152403,0.533738507,-0.258089518,0.724838981,0.441041448,1.482998972,1.955943027,-3.23338934
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.874696091,7.412765957,6.045479756,6.12671847,6.357364123,3.634076918,3.0148186,5.313740079,10.29781179,2.37712903,5.305601057,8.402237956,6.106695898,2.208256209,2.007173742,3.332564933,5.668707734,7.587536385,7.046618162,6.765261171,9.106984969,8.901944895,5.423472362,8.126676392,11.39516516,6.217504221,7.530406409,6.991638892,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.726387537,2.369668246,6.388888889,23.8,338.4491115,91.29793273,72.87879139,96.05733827,62.05483368,121.6075424,1058.373559,18.67220444,2.573042819,10.31626213,7.360939272,5.810143657,2.348641696,6.147130742,5.038838071,7.261594628,8.40253419,12.3487196,2.753202239,2.438990605,4.219903466,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.79874909,2.064355063,2.811868406,3.103729448
