Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,COL,,,,,,,,,,,,,,,,10.55000019,,9.399999619,,,9.100000381,8.130000114,11.46000004,11.13000011,13,13.89000034,12.93999958,10.82999992,,,,10.11999989,9.43999958,7.800000191,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,15.63300037,14.18900013,13.71700001,11.86999989,,11.20400047,11.27299976,12.06599998,10.98400021,10.11089993,9.74050045,9.051699638,8.572199821,8.298999786,8.691800117,8.87250042,9.110699654,9.961400032
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.571400166,,,,,,,,,,8.142499924,,,,,
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,10.67000008,,,,,31.31270027,,12.23999977,12.17000008,
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.511000156,5.373000145,3.927000046,3.953999996,4.045000076,5.176000118,6.162000179,5.681000233,5.327000141,5.894999981,5.081999779,5.914999962,6.334000111,6.558000088,6.390999794,6.571000099,5.739999771,4.489999771,4.781000137,7.712999821,7.170800209,10.13939953,9.783900261,8.767700195,9.059000015,8.999099731,8.598199844,8.14220047,9.631999969,11.49059963
Caribbean small states,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6663156,15.69760799,16.54455875,17.16918167,16.17764534,15.70958765,15.30822016,15.12226464,14.30475654,14.08186575,14.12639445,12.85387985,12.51635366,11.61197905,10.96874732,10.37119198,9.227888317,8.410722464,8.820782766,9.861940316,9.439275737,10.24711321,10.96402969,11.40665649,10.10945958,9.826434675,10.04576199,,,
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.270000458,7.610000134,7.099999905,6.230000019,6.260000229,5.449999809,4.079999924,3.309999943,2.329999924,1.853999972,1.950000048,1.912999988,1.787999988,1.582999945,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.779999733,,13.02999973,12.60999966,11.71000004,,,13.43000031,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.909999847,,7.21999979,5.739999771,4.940000057,5.099999905,4.139999866,4.170000076,,,7.539999962,5.369999886,3.609999895,3.450000048,3.539999962,2.619999886,3.829999924,3.970000029,6.039999962,6.679999828,6.78000021,6.210000038,6.269999981,4.699999809,4.239999771,,,,
Cyprus,CYP,,,,,,,,,,,,,,,,10.89999962,7.400000095,3.099999905,2,1.700000048,2,2.599999905,2.799999952,3.299999952,3.299999952,3.299999952,3.700000048,3.400000095,2.799999952,2.299999952,1.799999952,3,2.089999914,2.700000048,2.700000048,2.599999905,3.099999905,3.400000095,3.299999952,5.699999809,4.96750021,3.983999968,3.298500061,4.135099888,4.333300114,5.30369997,4.542900085,3.921999931,3.654700041,5.363900185,6.262800217,7.856100082,11.79520035,15.87069988,16.08799934,14.90839958,12.94979954,11.05150032,8.369700432,7.073599815
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699999988,2.269999981,2.599999905,4.320000172,4.296000004,4.024000168,3.894000053,4.271399975,5.903800011,8.489100456,8.761899948,7.991300106,7.018700123,7.543799877,8.209600449,7.92689991,7.147699833,5.320099831,4.392499924,6.662099838,7.279099941,6.711100101,6.978199959,6.952700138,6.107900143,5.04640007,3.951400042,2.889800072,2.243299961,2.014300108
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,6.449399948,6.674699783,6.874899864,6.610000134,6.816400051,6.318600178,5.705699921,4.890299797,5.317200184,6.323299885,7.675300121,8.727999687,8.158499718,8.824700356,9.863100052,9.788299561,8.854999542,7.917300224,7.772699833,8.481900215,9.779000282,10.72669983,11.16670036,10.25020027,8.6583004,7.524499893,7.741600037,6.966400146,5.824399948,5.379399776,5.23059988,4.98059988,4.624199867,4.121799946,3.745500088,3.383500099,3.139100075
